assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
17,11,22,,4,58,16,Kovalenko,0,46,8456882,-5,33,0.56896,R,5,11,19931994,0,0,0.17391,L,92,Andrei Kovalenko,QUE,
17,10,22,,1,78,16,Lapointe,0,167,8458524,-14,33,0.42307,R,5,10,19961997,1,1,0.10738,R,149,Martin Lapointe,DET,
18,13,29,,5,67,15,Graham,2,45,8447345,13,33,0.49253,R,0,1,19931994,2,3,0.12295,R,122,Dirk Graham,CHI,
18,13,28,,4,79,15,Matteau,0,98,8449295,6,33,0.41772,L,2,4,19921993,0,1,0.15789,L,95,Stephane Matteau,CHI,
18,14,28,,0,66,15,Beranek,0,78,8455575,-8,33,0.5,L,1,5,19921993,0,0,0.11538,L,130,Josef Beranek,"EDM,PHI",
18,12,25,,4,69,15,Selivanov,0,61,8460628,-3,33,0.47826,R,3,8,19961997,0,0,0.08021,L,187,Alexander Selivanov,TBL,
18,10,22,0.16666,2,82,15,Dackell,0,24,8465090,-11,33,0.40243,R,3,8,19971998,2,3,0.11538,R,130,Andreas Dackell,OTT,1048.6463
19,10,25,,4,73,14,Dahlen,0,18,8446295,-2,33,0.45205,R,4,8,19961997,0,0,0.10687,L,131,Ulf Dahlen,"SJS,CHI",
19,10,26,,3,79,14,Marchant,0,44,8459587,11,33,0.41772,C,0,3,19961997,4,4,0.0693,L,202,Todd Marchant,EDM,
19,12,22,0.6,1,72,14,Selivanov,0,42,8460628,-8,33,0.45833,R,2,11,19981999,0,0,0.07909,L,177,Alexander Selivanov,"TBL,EDM",889.3611
19,9,23,0.48109,2,78,14,Langkow,0,39,8462036,-8,33,0.42307,C,4,9,19981999,1,1,0.09395,L,149,Daymond Langkow,"TBL,PHI",945.282
19,11,25,0.48,3,64,14,Morrow,0,81,8466160,8,33,0.51562,L,3,8,19992000,0,0,0.12389,L,113,Brenden Morrow,DAL,950.5937
20,11,30,,3,70,13,Holik,0,72,8447958,28,33,0.47142,C,2,3,19931994,0,0,0.1,R,130,Bobby Holik,NJD,
20,11,29,,2,78,13,Lapointe,0,86,8448674,-8,33,0.42307,C,0,1,19911992,2,3,0.13684,L,95,Claude Lapointe,QUE,
20,7,17,0.33333,1,73,13,Young,1,22,8452569,-13,33,0.45205,R,4,13,19971998,2,3,0.06951,R,187,Scott Young,ANA,1072.3561
20,11,27,,0,70,13,Di Pietro,0,37,8456080,-2,33,0.47142,C,2,6,19931994,0,0,0.11304,R,115,Paul Di Pietro,MTL,
