assists,gamesPlayed,gamesStarted,fullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
2,63,61,Ryan Miller,0,168,2.73009,Miller,16,6.0,2,8468011,2,0.91092,1718.0,20062007,L,1886.0,2,BUF,,221531,40
0,66,64,Wayne Stephenson,0,164,2.58231,Stephenson,10,,11,8451695,0,0.90755,1610.0,19751976,L,1774.0,1,PHI,14.0,228632,40
3,67,65,Marc-Andre Fleury,0,184,2.8268,Fleury,16,9.0,4,8470594,3,0.90583,1770.0,20062007,L,1954.0,5,PIT,,234328,40
2,63,61,Pete Peeters,0,145,2.37249,Peeters,12,,33,8450343,2,0.9032,1353.0,19821983,L,1498.0,8,BOS,9.0,220022,40
0,65,63,Pelle Lindbergh,0,194,3.02418,Lindbergh,17,,4,8448853,0,0.89927,1732.0,19841985,L,1926.0,2,PHI,7.0,230938,40
8,75,73,Grant Fuhr,0,246,3.43162,Fuhr,24,,16,8446991,8,0.88064,1815.0,19871988,R,2061.0,4,EDM,9.0,258070,40
1,68,68,Terry Sawchuk,0,132,1.96039,Sawchuk,17,,10,8450111,1,,,19541955,L,,12,DET,11.0,242400,40
3,64,64,Ken Dryden,0,142,2.2434,Dryden,8,,4,8446490,3,0.93004,1888.0,19711972,L,2030.0,8,MTL,15.0,227868,39
2,62,62,Henrik Lundqvist,0,123,1.96616,Lundqvist,18,5.0,4,8468685,2,0.92983,1630.0,20112012,L,1753.0,8,NYR,,225210,39
3,53,53,Andrei Vasilevskiy,0,128,2.39719,Vasilevskiy,10,4.0,6,8476883,3,0.92527,1585.0,20182019,L,1713.0,6,TBL,,192225,39
1,63,63,Andrei Vasilevskiy,0,156,2.48886,Vasilevskiy,18,5.0,6,8476883,1,0.91648,1712.0,20212022,L,1868.0,2,TBL,,225645,39
1,68,68,Cam Ward,0,160,2.44396,Ward,23,5.0,4,8470320,1,0.91583,1741.0,20082009,L,1901.0,6,CAR,,235683,39
0,64,64,Marc-Andre Fleury,0,150,2.37316,Fleury,18,5.0,4,8470594,0,0.91544,1624.0,20132014,L,1774.0,5,PIT,,227544,39
2,64,64,Antti Niemi,0,149,2.39019,Niemi,17,7.0,0,8474550,2,0.9126,1556.0,20132014,L,1705.0,4,SJS,,224417,39
0,54,53,Sergei Bobrovsky,0,137,2.66695,Bobrovsky,7,3.0,4,8475683,0,0.91251,1429.0,20212022,L,1566.0,3,FLA,,184930,39
2,50,47,Chris Osgood,1,106,2.16844,Osgood,6,,4,8458568,3,0.91092,1084.0,19951996,L,1190.0,5,DET,5.0,175979,39
1,67,65,Patrick Lalime,0,142,2.16059,Lalime,20,,6,8459579,1,0.91074,1449.0,20022003,L,1591.0,8,OTT,7.0,236602,39
1,72,72,Jonathan Quick,0,180,2.53605,Quick,24,7.0,2,8471734,1,0.90659,1747.0,20092010,L,1927.0,4,LAK,,255515,39
4,70,70,Martin Brodeur,0,162,2.29308,Brodeur,21,,4,8455710,4,0.90625,1566.0,19981999,L,1728.0,4,NJD,10.0,254330,39
