,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
92,Patrick Scales,Bears,2023,1,,1317500,1317500,1092500,,0.6%,,1636326,1636326,1356877
93,Morgan Cox,Titans,2023,1,,1317500,1317500,1002500,,0.6%,,1636326,1636326,1245098
94,Aaron Brewer,Cardinals,2023,1,,1317500,1317500,0,,0.6%,,1636326,1636326,0
95,Aaron Brewer,Cardinals,2018,4,,4150000,1037500,620000,,0.6%,,6538826,1634707,976885
96,Thomas Hennessy,Jets,2019,4,,4400000,1100000,1100000,,0.6%,,6527524,1631881,1631881
97,Reid Ferguson,Bills,2025,4,,6500000,1625000,2365000,,0.6%,,6500000,1625000,2365000
98,Don Muhlbach,Lions,2020,1,,1140000,1140000,45000,,0.6%,,1605893,1605893,63391
99,Tyler Ott,Commanders,2024,3,,4390000,1463333,2865000,,0.6%,,4799092,1599697,3131981
100,John Denney,Dolphins,2018,1,,1015000,1015000,0,,0.6%,,1599255,1599255,0
101,Jon Condo,Falcons,2018,1,,1015000,1015000,0,,0.6%,,1599255,1599255,0
102,Patrick Scales,Bears,2022,1,,1187500,1187500,1047500,,0.6%,,1592459,1592459,1404717
103,Casey Kreiter,Giants,2022,1,,1187500,1187500,352500,,0.6%,,1592459,1592459,472709
104,Thomas Gafford,Broncos,2016,1,,885000,885000,0,,0.6%,,1591370,1591370,0
105,Brett Goode,Packers,2016,1,,885000,885000,0,,0.6%,,1591370,1591370,0
106,Taybor Pepper,49ers,2021,2,,2080000,1040000,300000,,0.6%,,3182115,1591058,458959
107,Garrison Sanborn,Buccaneers,2017,1,,950000,950000,50000,,0.6%,,1588263,1588263,83593
108,Jon Weeks,Texans,2023,1,,1272500,1272500,152500,,0.6%,,1580436,1580436,189404
109,Jacob Bobenmoyer,Raiders,2023,3,,3815000,1271667,1000000,,0.6%,,4738203,1579401,1241993
110,Zach Triner,Buccaneers,2022,2,,2345000,1172500,825000,,0.6%,,3144688,1572344,1106340
111,Nick Moore,Ravens,2023,2,,2495000,1247500,1440000,,0.6%,,3098772,1549386,1788470
112,Andrew DePaola,Vikings,2021,2,,2025000,1012500,0,,0.6%,,3097973,1548986,0
113,Trent Sieg,Cowboys,2023,1,,1232500,1232500,402500,,0.5%,,1530756,1530756,499902
114,Garrison Sanborn,49ers,2019,1,,1030000,1030000,0,,0.5%,,1528034,1528034,0
115,Jon Condo,49ers,2019,1,,1030000,1030000,0,,0.5%,,1528034,1528034,0
116,Carson Tinker,Giants,2021,1,,998500,998500,8500,,0.5%,,1527568,1527568,13004
117,Matt Orzech,Packers,2023,1,,3375000,1225000,300000,,0.5%,,4191726,1521441,372598
118,Carson Tinker,LV/TB,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
119,Beau Brinkley,Cardinals,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
120,Casey Kreiter,Giants,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
121,Beau Brinkley,Cardinals,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
122,J.J. Jansen,Panthers,2024,1,,1377500,1377500,1152500,,0.5%,,1505865,1505865,1259898
123,Patrick Scales,Bears,2024,1,,1377500,1377500,1152500,,0.5%,,1505865,1505865,1259898
124,Morgan Cox,Titans,2024,1,,1377500,1377500,1152500,,0.5%,,1505865,1505865,1259898
125,Casey Kreiter,Giants,2024,1,,1377500,1377500,1152500,,0.5%,,1505865,1505865,1259898
126,Aaron Brewer,Cardinals,2024,1,,1377500,1377500,83750,,0.5%,,1505865,1505865,91554
127,Jon Weeks,Texans,2024,1,,1377500,1377500,167500,,0.5%,,1505865,1505865,183109
128,James Winchester,Chiefs,2024,1,,1377500,1377500,1152500,,0.5%,,1505865,1505865,1259898
129,Thomas Gafford,Saints,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
130,Brett Goode,Packers,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
131,Justin Drescher,Cardinals,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
132,Brett Goode,Packers,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
133,Justin Drescher,Saints,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
134,Garrison Sanborn,Buccaneers,2017,1,,900000,900000,0,,0.5%,,1504671,1504671,0
135,Beau Brinkley,Bears,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
136,Matt Overton,Cowboys,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
137,Beau Brinkley,Falcons,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
138,Aaron Brewer,Cardinals,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
139,Jake McQuaide,Cowboys,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
140,Jon Dorenbos,Eagles,2006,2,,1095000,547500,0,,0.5%,,2997294,1498647,0
141,James Winchester,Chiefs,2017,5,,4450000,890000,500000,,0.5%,,7439760,1487952,835928
142,Casey Kreiter,Broncos,2019,1,,1000000,1000000,0,,0.5%,,1483528,1483528,0
143,Trent Sieg,Cowboys,2025,3,,4450000,1483333,3105000,,0.5%,,4450000,1483333,3105000
144,Matt Overton,Titans,2020,1,,1050000,1050000,0,,0.5%,,1479112,1479112,0
145,Jon Weeks,Texans,2020,1,,1050000,1050000,112500,,0.5%,,1479112,1479112,158476
146,Patrick Scales,Bears,2020,1,,1047500,1047500,887500,,0.5%,,1475590,1475590,1250202
147,Casey Kreiter,Giants,2020,1,,1047500,1047500,337500,,0.5%,,1475590,1475590,475429
